"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
       71,  -8.0742    ,     1,     38,    100,  0.13126    ,   277.9810    ,   269.9067    
       72, -0.66095    ,     1,     38,     98,  0.10000E-01,   284.4312    ,   283.7702    
       73,  -10.000    ,     1,     38,     98,  0.15279    ,   283.7702    ,   273.7702    
       74,  -10.000    ,     1,     38,     98,  0.17365    ,   273.7702    ,   263.7702    
       75,  -10.000    ,     1,     37,    113,  0.18470    ,   224.4784    ,   214.4784    
       76,  -10.000    ,     1,     37,    113,  0.22587    ,   214.4784    ,   204.4784    
       77,  -10.000    ,     1,     18,    104,  0.27723    ,   382.4283    ,   372.4283    
       78,  -10.000    ,     1,     18,    104,  0.34893    ,   372.4283    ,   362.4283    
       79, -0.37476E-02,     1,     30,    127,  0.10000E-03,   244.3336    ,   244.3299    
       80,  -10.000    ,     1,     30,    127,  0.25316    ,   244.3299    ,   234.3299    
       81,  -10.000    ,     1,     30,    127,  0.30965    ,   234.3299    ,   224.3299    
       82,  -10.000    ,     1,     30,    127,  0.44207    ,   224.3299    ,   214.3299    
       83,  -7.8793    ,     1,     27,    118,  0.58769    ,   236.1582    ,   228.2789    
       84, -0.63391E-01,     1,     30,    127,  0.10000E-01,   206.5144    ,   206.4510    
       85,  -3.9779    ,     1,     30,    127,  0.50000    ,   206.4510    ,   202.4731    
       86, -0.43821E-01,     1,     30,    127,  0.10000E-01,   202.4731    ,   202.4293    
       87,  -2.5102    ,     1,     30,    127,  0.50000    ,   202.4293    ,   199.9191    
       88, -0.26869E-01,     1,     30,    127,  0.10000E-01,   199.9191    ,   199.8922    
       89,  -1.5257    ,     1,     30,    127,  0.50000    ,   199.8922    ,   198.3665    
       90, -0.16536E-01,     1,     30,    127,  0.10000E-01,   198.3665    ,   198.3500    
       91, -0.18335E-03,     1,     30,    127,  0.10000E-03,   198.3500    ,   198.3498    
       92, -0.19964E-01,     1,     30,    127,  0.10000E-01,   198.3498    ,   198.3298    
       93, -0.98635    ,     1,     30,    127,  0.50000    ,   198.3298    ,   197.3435    
       94, -0.95612E-02,     1,     30,    127,  0.10000E-01,   197.3435    ,   197.3339    
       95, -0.55195    ,     1,     30,    127,  0.50000    ,   197.3339    ,   196.7820    
       96, -0.59540E-02,     1,     30,    127,  0.10000E-01,   196.7820    ,   196.7760    
       97, -0.33967    ,     1,     30,    127,  0.50000    ,   196.7760    ,   196.4364    
       98, -0.12164E-01,     1,     31,    131,  0.10000E-01,   198.1839    ,   198.1717    
       99, -0.65332    ,     1,     31,    131,  0.50000    ,   198.1717    ,   197.5184    
      100, -0.66554E-02,     1,     31,    131,  0.10000E-01,   197.5184    ,   197.5118    
      101, -0.35800    ,     1,     31,    131,  0.50000    ,   197.5118    ,   197.1538    
      102, -0.36848E-02,     1,     31,    131,  0.10000E-01,   197.1538    ,   197.1501    
      103, -0.47327E-04,     1,     31,    131,  0.10000E-03,   197.1501    ,   197.1500    
      104, -0.21169    ,     1,     31,    131,  0.50005    ,   197.1500    ,   196.9383    
      105, -0.19949E-02,     1,     31,    131,  0.10000E-01,   196.9383    ,   196.9363    
      106, -0.10551    ,     1,     31,    131,  0.50000    ,   196.9363    ,   196.8308    
      107, -0.11317E-02,     1,     31,    131,  0.10000E-01,   196.8308    ,   196.8297    
      108, -0.61295E-01,     1,     31,    131,  0.50000    ,   196.8297    ,   196.7684    
      109, -0.64395E-03,     1,     31,    131,  0.10000E-01,   196.7684    ,   196.7678    
      110, -0.35226E-01,     1,     31,    131,  0.50000    ,   196.7678    ,   196.7325    
      111, -0.36397E-03,     1,     31,    131,  0.10000E-01,   196.7325    ,   196.7322    
      112, -0.20281E-01,     1,     31,    131,  0.50000    ,   196.7322    ,   196.7119    
      113, -0.21602E-03,     1,     31,    131,  0.10000E-01,   196.7119    ,   196.7117    
      114, -0.11705E-01,     1,     31,    131,  0.50000    ,   196.7117    ,   196.7000    
